"","log2FoldChange","padj"
"PIDD",-0.31543804502777,0.6
"PPCS",0.1844553959327,0.43
"MEX3C",-0.09446702069516,0.71
"TIGD6",-0.06504718703308,0.82
"ASAP3",0.11383355124943,0.66
"ABCA2",-0.33367590878221,0.46
"KDM4B",-0.18586851739761,0.5
"CCDC40",0.30530934173156,0.16
"PAM",-0.0833375522262,0.67
"FAM47E-STBD1",-0.35270598332152,0.46
"LENG9",-0.39445588127329,0.49
"MBLAC2",-0.18611371607036,0.32
"DOPEY2",0.137537191023,0.47
"MIR7-3HG",0.46619929490133,0.23
"SAC3D1",-0.39628580857999,0.34
"HPCAL1",0.11410432589001,0.81
"GTF3C5",-0.15457001583061,0.69
"MAPK13",0.36676014671191,0.37
"RP11-420K14.6",-0.2076177036336,0.74
"KCNK5",-1.01591817737885,0
"ZNF2",-0.05201804434633,0.81
"RP11-394I13.2",0.52945654167848,0.28
"MED8",0.10134822797109,0.57
"WNT7B",-0.49065298129616,0.33
"FBXL17",-0.13986106453343,0.49
"LOXL1",-0.34927650562728,0.3
"ENOX1",0.03878334055492,0.85
"PDE1B",0.58795001658415,0.26
"DAO",0.14278140110188,0.85
"RP11-8P11.3",-0.05880112741425,0.9
"EIF5",-0.17214666443394,0.25
"SPRY1",-0.07205689609373,0.82
"PCDHB11",-0.44575006565987,0.18
"NCOA6",-0.05647072536188,0.77
"VPS4A",0.02196319987168,0.95
"CXorf56",0.15243589149925,0.5
"LTB4R2",-0.20163997787173,0.63
"FAM21B",0.11172142623578,0.67
"DYRK2",-0.23950517956705,0.28
"KDM3A",0.11096753541127,0.52
"ASIC3",0.22102883569138,0.68
"CDKN2D",0.1964472770424,0.58
"MRPL38",-0.03281457944207,0.95
"ABCC5",0.14851842167398,0.53
"SDHCP4",-0.48025407401651,0.23
"CTC-205M6.5",-0.08461101617493,0.89
"RP11-871F6.2",-0.47095393402328,0.42
"CBX7",0.15371185788687,0.66
"SLC18B1",-0.06114870552891,0.75
"ARMC2",0.19179221395727,0.48
"EPHB4",-1.2802962579381,0
"CTB-176F20.3",1.17871412378016,0
"RPS14",-0.06008383145323,0.88
